Building_ID,Relative_Compactness,Building_Type,Surface_Area_m2,Wall_Area_m2,Roof_Area_m2,Overall_Height_m,Orientation,Glazing_Area_ratio,Glazing_Distribution,Heating_Load_kWh,Cooling_Load_kWh
BLD-0001,0.98,High_Rise,514.5,294.0,110.25,7.0,North,0.0,,15.55,21.33
BLD-0002,0.98,High_Rise,514.5,294.0,110.25,7.0,East,0.0,,15.55,21.33
BLD-0003,0.98,High_Rise,514.5,294.0,110.25,7.0,South,0.0,,15.55,21.33
BLD-0004,0.98,High_Rise,514.5,,110.25,7.0,West,0.0,,,21.33
BLD-0005,0.9,High_Rise,563.5,318.5,122.5,7.0,,0.0,,20.84,28.28
BLD-0006,0.9,High_Rise,563.5,318.5,122.5,7.0,East,0.0,,21.46,25.38
BLD-0007,0.9,High_Rise,563.5,318.5,122.5,7.0,South,,,20.71,25.16
BLD-0008,0.9,High_Rise,563.5,318.5,122.5,7.0,West,0.0,,19.68,29.6
BLD-0009,0.86,High_Rise,588.0,294.0,147.0,,North,,,19.5,27.3
BLD-0010,0.86,High_Rise,588.0,294.0,147.0,7.0,East,0.0,,19.95,21.97
BLD-0011,0.86,High_Rise,588.0,294.0,147.0,7.0,South,0.0,,19.34,23.49
BLD-0012,0.86,High_Rise,588.0,294.0,147.0,7.0,West,,,18.31,27.87
BLD-0013,0.82,High_Rise,612.5,318.5,147.0,7.0,North,0.0,,17.05,23.77
BLD-0014,0.82,High_Rise,612.5,318.5,147.0,7.0,East,0.0,,17.41,21.46
BLD-0015,0.82,High_Rise,612.5,318.5,147.0,7.0,South,0.0,,16.95,21.16
BLD-0016,0.82,High_Rise,612.5,318.5,147.0,7.0,West,0.0,,15.98,24.93
BLD-0017,0.79,High_Rise,637.0,343.0,147.0,7.0,North,0.0,,28.52,37.73
BLD-0018,0.79,High_Rise,637.0,343.0,,7.0,East,0.0,,29.9,31.27
BLD-0019,0.79,High_Rise,637.0,343.0,147.0,7.0,South,0.0,,29.63,30.93
BLD-0020,0.79,High_Rise,637.0,343.0,147.0,7.0,West,0.0,,28.75,39.44
BLD-0021,0.76,High_Rise,,416.5,122.5,7.0,North,,,24.77,29.79
BLD-0022,0.76,High_Rise,,416.5,122.5,7.0,East,0.0,,23.93,29.68
BLD-0023,0.76,High_Rise,661.5,416.5,122.5,7.0,South,0.0,,24.77,
BLD-0024,0.76,High_Rise,661.5,416.5,122.5,7.0,,0.0,,23.93,29.4
BLD-0025,0.74,Low_Rise,686.0,,220.5,3.5,North,0.0,,6.07,10.9
BLD-0026,0.74,Low_Rise,686.0,245.0,220.5,3.5,East,0.0,,6.05,11.19
BLD-0027,0.74,Low_Rise,686.0,245.0,220.5,3.5,,0.0,,6.01,10.94
BLD-0028,0.74,Low_Rise,686.0,245.0,220.5,3.5,West,0.0,,6.04,11.17
BLD-0029,0.71,Low_Rise,710.5,269.5,220.5,3.5,North,0.0,,6.37,11.27
BLD-0030,0.71,Low_Rise,710.5,269.5,220.5,3.5,East,0.0,,6.4,11.72
BLD-0031,0.71,Low_Rise,,269.5,220.5,3.5,South,0.0,,6.366,11.29
BLD-0032,0.71,Low_Rise,710.5,269.5,220.5,3.5,West,0.0,,6.4,
BLD-0033,0.69,Low_Rise,735.0,294.0,220.5,3.5,North,,,6.85,11.74
BLD-0034,0.69,Low_Rise,735.0,,220.5,3.5,,,,6.79,12.05
BLD-0035,0.69,Low_Rise,735.0,294.0,220.5,3.5,South,,,6.77,11.73
BLD-0036,0.69,Low_Rise,735.0,294.0,220.5,3.5,West,0.0,,6.81,11.93
BLD-0037,0.66,Low_Rise,759.5,318.5,,3.5,North,0.0,,7.18,12.4
BLD-0038,0.66,Low_Rise,759.5,318.5,220.5,3.5,East,0.0,,7.1,12.23
BLD-0039,0.66,Low_Rise,759.5,318.5,220.5,,South,0.0,,,12.4
BLD-0040,0.66,Low_Rise,759.5,318.5,220.5,,West,0.0,,7.1,12.14
BLD-0041,0.64,Low_Rise,784.0,343.0,220.5,3.5,North,,,10.85,16.78
BLD-0042,0.64,Low_Rise,784.0,343.0,220.5,3.5,East,0.0,,10.54,16.8
BLD-0043,0.64,Low_Rise,784.0,343.0,220.5,3.5,South,0.0,,10.77,16.75
BLD-0044,0.64,Low_Rise,784.0,343.0,220.5,3.5,West,0.0,,10.56,16.67
BLD-0045,0.62,Low_Rise,808.5,367.5,220.5,3.5,North,0.0,,8.6,12.07
BLD-0046,0.62,Low_Rise,808.5,367.5,220.5,3.5,East,,,8.49,12.22
BLD-0047,0.62,Low_Rise,808.5,367.5,220.5,3.5,South,0.0,,8.45,12.08
BLD-0048,0.62,Low_Rise,808.5,,220.5,3.5,West,0.0,,8.5,12.04
BLD-0049,0.98,High_Rise,514.5,294.0,110.25,7.0,North,0.1,Uniform,24.58,26.47
BLD-0050,0.98,High_Rise,514.5,294.0,110.25,7.0,East,0.1,Uniform,24.63,26.37
BLD-0051,0.98,High_Rise,514.5,294.0,110.25,7.0,,0.1,Uniform,24.63,26.44
BLD-0052,0.98,High_Rise,514.5,294.0,110.25,7.0,West,0.1,Uniform,24.59,26.29
BLD-0053,0.9,High_Rise,563.5,318.5,122.5,7.0,North,0.1,Uniform,29.03,32.92
BLD-0054,0.9,High_Rise,563.5,318.5,,7.0,East,0.1,Uniform,29.87,29.87
BLD-0055,0.9,High_Rise,563.5,318.5,122.5,7.0,South,0.1,Uniform,29.14,29.58
BLD-0056,0.9,High_Rise,563.5,318.5,122.5,7.0,West,0.1,Uniform,28.09,34.33
BLD-0057,0.86,High_Rise,588.0,,147.0,7.0,North,0.1,,26.28,30.89
BLD-0058,0.86,High_Rise,588.0,294.0,147.0,7.0,East,0.1,Uniform,26.91,25.6
BLD-0059,0.86,High_Rise,588.0,294.0,147.0,7.0,South,0.1,Uniform,26.37,27.03
BLD-0060,0.86,High_Rise,588.0,294.0,147.0,7.0,West,0.1,Uniform,25.27,31.73
BLD-0061,0.82,High_Rise,612.5,,147.0,7.0,North,0.1,,23.53,27.31
BLD-0062,0.82,High_Rise,612.5,318.5,147.0,7.0,East,0.1,,24.03,24.91
BLD-0063,0.82,High_Rise,612.5,318.5,147.0,7.0,South,0.1,Uniform,23.54,24.61
BLD-0064,0.82,High_Rise,612.5,318.5,,7.0,West,0.1,Uniform,22.58,28.51
BLD-0065,0.79,High_Rise,637.0,343.0,147.0,7.0,North,0.1,Uniform,35.56,
BLD-0066,0.79,High_Rise,637.0,343.0,147.0,7.0,East,0.1,Uniform,37.12,35.28
BLD-0067,,High_Rise,637.0,343.0,147.0,7.0,South,0.1,Uniform,36.9,34.43
BLD-0068,,High_Rise,637.0,343.0,147.0,7.0,West,0.1,Uniform,35.94,43.33
BLD-0069,0.76,High_Rise,661.5,416.5,122.5,7.0,North,0.1,,32.96,33.87
BLD-0070,0.76,High_Rise,661.5,416.5,122.5,7.0,,0.1,Uniform,32.12,34.07
BLD-0071,0.76,High_Rise,661.5,416.5,122.5,7.0,South,0.1,Uniform,32.94,34.14
BLD-0072,0.76,High_Rise,661.5,416.5,122.5,7.0,West,0.1,Uniform,32.21,33.67
BLD-0073,0.74,Low_Rise,686.0,245.0,220.5,3.5,North,0.1,Uniform,10.36,
BLD-0074,0.74,Low_Rise,686.0,245.0,220.5,3.5,East,0.1,Uniform,10.43,13.71
BLD-0075,0.74,Low_Rise,686.0,245.0,220.5,3.5,South,0.1,Uniform,10.36,13.48
BLD-0076,0.74,Low_Rise,686.0,245.0,220.5,3.5,West,0.1,Uniform,10.39,13.7
BLD-0077,0.71,Low_Rise,710.5,269.5,220.5,3.5,North,0.1,Uniform,10.71,13.8
BLD-0078,0.71,Low_Rise,710.5,269.5,220.5,3.5,East,0.1,Uniform,10.8,14.28
BLD-0079,0.71,Low_Rise,710.5,269.5,220.5,3.5,South,0.1,Uniform,10.7,13.87
BLD-0080,0.71,Low_Rise,710.5,269.5,220.5,3.5,West,0.1,Uniform,10.75,14.27
BLD-0081,0.69,Low_Rise,735.0,,220.5,3.5,North,0.1,,11.11,14.28
BLD-0082,0.69,Low_Rise,735.0,294.0,220.5,3.5,East,0.1,Uniform,11.13,14.61
BLD-0083,0.69,Low_Rise,735.0,,220.5,3.5,South,0.1,Uniform,11.09,
BLD-0084,0.69,Low_Rise,735.0,294.0,220.5,3.5,West,0.1,Uniform,11.16,14.45
BLD-0085,0.66,Low_Rise,759.5,318.5,220.5,,North,,Uniform,11.68,13.9
BLD-0086,0.66,Low_Rise,759.5,318.5,220.5,3.5,East,0.1,Uniform,,13.72
BLD-0087,,Low_Rise,759.5,318.5,220.5,3.5,South,0.1,Uniform,11.7,13.88
BLD-0088,0.66,Low_Rise,759.5,318.5,220.5,3.5,West,0.1,Uniform,11.69,13.65
BLD-0089,0.64,Low_Rise,784.0,343.0,220.5,3.5,North,0.1,Uniform,15.41,19.37
